Invoice_ID,Invoice_Date,SKU,Invoice_Amount,Due_Date,Payment_Due
50,2019-01-26,2733,37280,2024-01-11,NO
51,2022-09-22,2287,12649,2026-08-15,Yes
52,2019-01-26,2663,8247,2024-06-29,NO
53,2019-01-28,1600,13689,2023-05-15,NO
54,2019-01-28,1600,44762,2023-05-11,NO
55,2019-03-22,2886,40746,2024-04-27,NO
56,2019-03-30,2723,8691,2025-06-18,NO
57,2019-03-30,2641,32694,2024-01-13,NO
58,2019-08-17,2775,11156,2025-01-08,NO
59,2019-08-17,2883,33511,2025-04-15,NO
60,2019-12-27,2222,11666,2024-07-12,NO
61,2019-12-27,522,39893,2026-11-19,Yes
62,2019-12-27,191,22441,2025-07-31,NO
63,2019-12-27,219,40449,2025-01-28,NO
64,2019-12-27,224,40573,2024-04-16,NO
65,2019-12-27,483,20118,2025-04-12,NO
66,2019-12-27,2375,13650,2024-11-05,NO
67,2019-12-27,1133,30920,2024-04-19,NO
68,2019-12-27,2180,24827,2024-06-07,NO
69,2019-12-27,2031,34541,2024-06-21,NO
70,2019-12-27,2516,47793,2025-12-14,Yes
71,2019-12-28,1786,39957,2024-11-10,NO
72,2019-12-28,529,48338,2023-10-13,NO
73,2019-12-28,580,45674,2026-11-25,Yes
74,2019-12-28,557,37520,2026-08-01,Yes
75,2019-12-28,561,14106,2024-07-04,NO
76,2019-12-28,499,49031,2026-08-04,Yes
77,2022-10-25,2726,44640,2025-08-16,Yes
78,2019-12-28,136,27590,2025-04-23,NO
79,2019-12-28,525,16921,2023-06-01,NO
80,2019-12-28,523,44799,2025-11-12,Yes
81,2019-12-28,534,9993,2026-12-04,Yes
82,2019-12-28,570,6256,2026-05-31,Yes
83,2019-12-28,1823,18056,2024-11-09,NO
84,2019-12-28,534,47463,2025-04-09,NO
85,2019-12-28,528,38412,2024-10-18,NO
86,2019-12-28,497,38387,2025-01-10,NO
87,2019-12-28,1823,43291,2025-01-25,NO
88,2019-12-28,2372,31423,2025-01-02,NO
89,2019-12-28,525,40892,2024-02-28,NO
90,2019-12-28,541,29297,2024-05-25,NO
91,2019-12-28,2349,46896,2024-08-13,NO
92,2019-12-28,534,33830,2025-05-15,NO
93,2019-12-28,983,13321,2024-12-11,NO
94,2019-12-28,224,30478,2024-08-09,NO
95,2019-12-28,166,36854,2026-04-02,Yes
96,2019-12-28,163,33493,2026-11-26,Yes
97,2019-12-28,70,19756,2023-04-30,NO
98,2019-12-28,92,36016,2024-05-12,NO
99,2019-12-28,2375,28134,2024-01-08,NO
100,2019-12-28,1791,18511,2024-10-15,NO
101,2019-12-28,1133,49843,2024-05-08,NO
102,2019-12-30,2521,7996,2026-08-31,Yes
103,2019-06-22,2158,12272,2024-02-26,NO
104,2019-12-30,220,37211,2026-10-24,Yes
105,2019-12-30,191,21159,2025-12-08,Yes
106,2019-12-30,1133,19256,2024-06-20,NO
107,2019-12-30,219,45754,2026-06-26,Yes
108,2019-12-30,529,20009,2024-03-25,NO
109,2019-12-30,1405,11750,2023-04-10,NO
110,2019-12-30,2445,36416,2025-07-23,NO
111,2019-12-30,2699,11605,2024-01-05,NO
112,2019-12-30,2375,42011,2025-09-18,Yes
113,2019-12-30,523,48727,2024-10-10,NO
114,2019-12-30,1709,44883,2023-04-07,NO
115,2019-12-30,917,48675,2026-07-12,Yes
116,2019-12-30,522,40549,2026-12-12,Yes
117,2019-12-30,1182,14096,2023-08-05,NO
118,2019-12-30,519,34276,2024-10-26,NO
119,2019-12-30,525,28614,2024-09-24,NO
120,2019-12-30,1008,49995,2025-07-04,NO
121,2019-12-30,851,14577,2024-01-09,NO
122,2019-04-08,678,23019,2024-03-20,NO
123,2019-12-30,166,41341,2024-08-21,NO
124,2019-12-30,223,12872,2024-12-19,NO
125,2019-12-30,490,30738,2023-06-23,NO
126,2019-12-30,190,36205,2026-02-10,Yes
127,2019-12-30,218,42167,2026-10-20,Yes
128,2019-12-30,528,24482,2026-12-12,Yes
129,2019-12-31,88,36421,2026-03-29,Yes
130,2019-12-31,224,21609,2025-11-28,Yes
131,2020-10-21,1783,43601,2025-02-05,NO
132,2019-12-31,2375,34102,2025-01-21,NO
133,2019-12-31,140,33300,2024-05-27,NO
134,2019-12-31,1786,39110,2026-08-29,Yes
135,2019-12-31,529,42534,2025-05-17,NO
136,2019-12-31,525,44322,2025-08-06,NO
137,2019-12-31,523,39719,2024-03-05,NO
138,2019-12-31,2424,29035,2026-05-02,Yes
139,2019-12-31,1445,31887,2024-02-03,NO
140,2019-12-31,2379,42570,2026-02-16,Yes
141,2019-12-31,378,49584,2025-02-15,NO
142,2019-12-31,188,44536,2026-04-14,Yes
143,2019-12-31,190,28810,2023-12-08,NO
144,2019-12-31,191,24384,2023-04-04,NO
145,2019-12-31,191,6073,2024-07-23,NO
146,2019-10-21,1983,28249,2025-03-06,NO
147,2019-12-31,166,22043,2026-07-26,Yes
148,2019-12-31,1787,10102,2023-10-03,NO
149,2019-12-31,773,7976,2026-09-19,Yes
150,2019-12-31,2375,44111,2026-07-18,Yes
151,2019-12-31,1057,13107,2024-07-15,NO
152,2022-06-30,2524,37163,2023-05-22,NO
153,2019-08-28,681,43162,2024-11-18,NO
154,2019-08-30,1431,42842,2026-08-07,Yes
155,2019-08-30,2313,19011,2025-11-28,Yes
156,2019-09-06,1394,39359,2025-01-10,NO
157,2019-09-06,1431,33453,2024-08-03,NO
158,2019-09-06,1454,31648,2024-09-11,NO
159,2019-09-18,1645,25274,2026-10-12,Yes
160,2019-09-27,488,17564,2024-09-28,NO
161,2019-09-27,1310,47174,2023-02-05,NO
162,2019-09-27,1861,27090,2026-08-03,Yes
163,2019-09-27,2313,46490,2026-09-15,Yes
164,2019-09-28,868,32617,2023-07-30,NO
165,2019-09-28,2239,13917,2023-07-02,NO
166,2019-10-01,2392,24903,2024-06-14,NO
167,2019-10-01,1830,25937,2024-06-20,NO
168,2019-10-02,1830,40329,2023-02-20,NO
169,2019-10-02,1975,40995,2025-08-10,NO
170,2019-10-02,2392,9714,2025-10-31,Yes
171,2019-10-05,1175,24897,2026-11-30,Yes
172,2019-10-05,2736,20992,2024-12-17,NO
173,2019-10-07,2214,26413,2025-08-17,Yes
174,2019-10-07,1556,44484,2025-11-04,Yes
175,2019-10-07,868,35921,2024-11-20,NO
176,2019-10-07,1039,24854,2026-12-02,Yes
177,2019-10-07,350,17797,2025-01-31,NO
178,2019-10-07,1977,40400,2024-01-19,NO
179,2019-10-11,1454,25236,2026-06-21,Yes
180,2019-10-11,1431,23641,2026-06-26,Yes
181,2019-10-16,1830,36813,2023-02-11,NO
182,2019-10-16,1772,34592,2023-05-26,NO
183,2019-10-16,2465,45257,2026-11-28,Yes
184,2019-10-21,2064,43260,2026-06-10,Yes
185,2019-10-21,2064,29992,2024-04-22,NO
186,2019-10-21,2239,7644,2023-11-05,NO
187,2019-10-21,2736,49563,2025-08-08,NO
188,2019-10-21,197,34022,2023-10-28,NO
189,2019-10-22,961,6698,2026-11-11,Yes
190,2019-10-22,959,21567,2024-10-14,NO
191,2019-10-24,350,21287,2025-10-01,Yes
192,2020-05-11,1771,24325,2023-03-04,NO
193,2022-08-18,1668,22201,2023-12-28,NO
194,2019-10-28,1310,11945,2023-09-27,NO
195,2019-10-28,868,47301,2025-09-17,Yes
196,2019-10-28,2353,37550,2023-08-14,NO
197,2019-10-29,1310,46486,2026-04-14,Yes
198,2019-11-05,1454,49670,2026-03-30,Yes
199,2019-11-05,350,33449,2025-03-23,NO
200,2019-11-06,2085,9860,2024-04-16,NO
201,2019-11-08,2535,43569,2024-04-27,NO
202,2019-11-08,1794,7358,2023-12-17,NO
203,2019-11-11,972,31911,2023-05-31,NO
204,2019-11-11,967,12873,2024-09-06,NO
205,2019-11-12,1556,30316,2024-04-03,NO
206,2019-11-12,2505,24511,2026-03-07,Yes
207,2019-11-18,2736,46012,2024-10-07,NO
208,2019-11-26,332,24639,2026-10-08,Yes
209,2019-12-11,353,12012,2023-08-21,NO
210,2019-08-21,197,48824,2025-06-30,NO
211,2019-12-18,2392,12110,2026-05-10,Yes
212,2019-12-19,433,36083,2026-06-10,Yes
213,2019-12-20,1039,9639,2026-08-16,Yes
214,2019-12-20,1830,28968,2025-04-10,NO
215,2019-07-01,219,47774,2024-01-26,NO
216,2019-07-01,191,17834,2025-09-09,Yes
217,2019-07-02,378,11493,2025-08-06,NO
218,2019-07-02,851,19217,2026-05-09,Yes
219,2019-07-02,2528,12125,2026-12-09,Yes
220,2019-07-02,197,34117,2024-06-03,NO
221,2022-08-10,1751,37626,2026-04-18,Yes
222,2019-07-02,1827,19734,2023-07-23,NO
223,2019-07-02,2072,37644,2025-10-02,Yes
224,2019-07-02,2329,17962,2026-06-01,Yes
225,2019-07-02,1793,9688,2025-12-14,Yes
226,2019-07-02,2028,25158,2025-05-07,NO
227,2019-07-02,797,17249,2023-08-03,NO
228,2019-07-02,1796,6755,2024-07-26,NO
229,2019-07-02,2284,33581,2025-08-15,Yes
230,2019-07-02,191,20887,2025-01-28,NO
231,2019-07-02,191,36795,2023-04-26,NO
232,2019-07-02,1827,17983,2023-02-04,NO
233,2019-07-02,2470,21812,2026-07-13,Yes
234,2019-07-02,1646,19246,2025-09-21,Yes
235,2019-07-01,1823,10496,2026-11-22,Yes
236,2019-07-02,2329,32659,2025-09-29,Yes
237,2021-05-28,2417,46390,2025-03-20,NO
238,2019-05-24,797,39952,2025-06-21,NO
239,2019-07-03,371,39829,2023-01-24,NO
240,2019-07-03,793,47128,2025-03-14,NO
241,2019-07-03,548,34161,2024-05-28,NO
242,2019-07-03,2173,6006,2024-05-18,NO
243,2019-07-03,992,34750,2026-06-13,Yes
244,2019-07-03,975,49706,2025-01-10,NO
245,2019-07-03,1540,32209,2026-11-07,Yes
246,2019-07-03,223,16189,2025-03-19,NO
247,2019-07-03,2512,43936,2026-04-14,Yes
248,2019-07-04,1408,17393,2023-04-09,NO
249,2019-07-04,222,16426,2025-09-17,Yes
250,2019-07-04,481,36102,2024-10-26,NO
251,2019-07-04,130,11930,2025-11-29,Yes
252,2019-07-04,90,18274,2024-05-30,NO
253,2019-07-04,2158,17511,2026-05-26,Yes
254,2019-07-04,2474,32401,2025-05-17,NO
255,2019-07-04,2329,8536,2023-06-22,NO
256,2019-07-04,167,40180,2026-12-02,Yes
257,2019-07-04,1310,49472,2025-01-03,NO
258,2019-07-04,868,49469,2025-12-06,Yes
259,2019-07-04,1510,18712,2023-04-26,NO
260,2019-07-04,1408,22674,2025-10-23,Yes
261,2019-07-04,1408,23071,2025-11-03,Yes
262,2019-07-04,2411,19914,2026-07-19,Yes
263,2019-07-04,1796,17982,2025-10-08,Yes
264,2019-07-04,1642,45345,2024-04-26,NO
265,2019-07-04,1596,28587,2026-06-09,Yes
266,2019-07-04,1601,40109,2024-12-07,NO
267,2019-07-04,1748,33853,2025-02-10,NO
268,2019-01-17,2265,29836,2024-04-17,NO
269,2019-07-05,1780,45654,2025-11-29,Yes
270,2019-07-05,538,48989,2026-09-01,Yes
271,2019-07-05,538,17981,2025-11-04,Yes
272,2019-07-05,525,11416,2023-04-06,NO
273,2019-07-05,402,16187,2024-12-18,NO
274,2019-07-05,1780,27910,2023-08-06,NO
275,2019-07-05,538,39870,2023-10-21,NO
276,2019-07-05,538,18636,2023-06-15,NO
277,2019-07-05,538,26560,2024-10-02,NO
278,2019-07-05,1776,6031,2026-10-26,Yes
279,2019-07-05,1780,16652,2023-09-17,NO
280,2019-07-05,1776,7948,2025-06-02,NO
281,2019-07-05,538,5248,2023-04-19,NO
282,2019-07-05,2275,40826,2024-11-12,NO
283,2019-07-05,992,31210,2026-03-20,Yes
284,2022-08-27,1408,33865,2026-12-09,Yes
285,2019-07-05,519,26218,2025-04-21,NO
286,2019-07-05,223,22148,2023-10-02,NO
287,2019-07-05,810,10683,2023-12-09,NO
288,2019-07-05,543,15795,2023-08-14,NO
289,2019-12-26,525,26739,2026-01-12,Yes
290,2019-07-05,530,15631,2024-09-29,NO
291,2019-07-05,1774,22924,2025-08-04,NO
292,2019-07-05,1776,40530,2023-12-19,NO
293,2019-07-24,2329,30372,2025-07-08,NO
294,2019-07-05,538,33887,2026-05-24,Yes
295,2019-07-05,519,36005,2025-05-13,NO
296,2019-07-05,917,21151,2025-12-02,Yes
297,2019-07-05,875,16712,2025-12-10,Yes
298,2019-07-05,1748,16117,2023-12-14,NO
299,2021-03-16,2713,31711,2026-01-26,Yes
300,2019-07-05,1095,49283,2025-06-30,NO
301,2019-07-05,170,25834,2025-04-28,NO
302,2019-07-05,519,33835,2024-09-18,NO
303,2019-07-05,519,10321,2023-12-18,NO
304,2019-07-05,519,27259,2024-11-10,NO
305,2019-07-05,374,41959,2025-01-30,NO
306,2019-07-06,553,12443,2024-05-24,NO
307,2019-07-06,519,5410,2026-02-17,Yes
308,2019-07-06,1776,36793,2024-05-26,NO
309,2019-07-06,1780,32688,2023-06-17,NO
310,2019-07-06,1776,20734,2023-10-20,NO
311,2019-07-06,541,34271,2026-07-24,Yes
312,2019-07-06,519,19562,2023-09-18,NO
313,2019-07-06,1780,30298,2025-06-05,NO
314,2019-07-06,1780,42952,2026-10-13,Yes
315,2019-07-06,1776,28071,2024-11-07,NO
316,2019-07-06,519,13968,2024-05-28,NO
317,2019-07-06,519,46232,2025-07-10,NO
318,2019-07-06,2232,31088,2025-04-24,NO
319,2019-07-06,1596,15271,2024-11-14,NO
320,2019-07-06,1095,15629,2024-02-26,NO
321,2019-07-06,220,35458,2026-07-04,Yes
322,2019-08-31,2305,47190,2023-09-17,NO
323,2019-07-06,875,9147,2024-02-27,NO
324,2019-07-06,226,40503,2024-02-15,NO
325,2019-07-06,181,25666,2023-09-03,NO
326,2019-07-06,206,39199,2024-03-24,NO
327,2019-07-06,2329,48681,2025-08-01,NO
328,2019-07-06,525,6944,2023-12-30,NO
329,2019-07-06,875,31276,2026-06-27,Yes
330,2019-07-08,196,25673,2025-08-11,NO
331,2019-07-08,194,20647,2026-10-04,Yes
332,2019-07-08,191,12430,2025-04-22,NO
333,2020-05-06,2446,49531,2025-02-17,NO
334,2019-07-08,166,7506,2026-09-09,Yes
335,2019-07-08,1777,8474,2026-08-21,Yes
336,2019-07-08,1776,24440,2024-07-15,NO
337,2019-07-08,1796,28633,2024-08-01,NO
338,2019-07-08,1008,35686,2023-07-27,NO
339,2019-07-08,219,8724,2025-08-26,Yes
340,2019-07-08,197,39830,2026-02-09,Yes
341,2019-07-08,194,16897,2026-04-14,Yes
342,2019-07-08,1827,35344,2025-07-16,NO
343,2019-07-08,1431,31271,2025-12-27,Yes
344,2019-07-08,1454,14392,2026-08-26,Yes
345,2022-01-10,561,19674,2025-08-16,Yes
346,2019-07-09,186,13165,2023-08-18,NO
347,2019-07-09,1288,24231,2025-04-07,NO
348,2019-07-09,1604,44711,2023-10-08,NO
349,2019-07-09,1512,36943,2026-10-17,Yes
350,2019-07-09,1780,8203,2023-01-18,NO
351,2019-07-09,1776,15574,2023-03-25,NO
352,2019-07-09,541,49291,2023-12-16,NO
353,2019-07-09,1776,46209,2023-06-20,NO
354,2019-07-09,1780,10174,2024-12-24,NO
355,2019-07-09,2351,10360,2025-04-07,NO
356,2019-07-09,541,46546,2024-09-22,NO
357,2019-05-28,2199,36755,2025-09-11,Yes
358,2019-07-09,51,8116,2024-04-20,NO
359,2019-07-09,522,24564,2024-06-19,NO
360,2019-07-09,522,27989,2023-11-09,NO
361,2019-07-09,2329,36968,2024-05-30,NO
362,2019-07-09,570,23509,2024-10-23,NO
363,2019-07-09,1134,45520,2026-04-25,Yes
364,2019-07-09,1779,44990,2025-07-04,NO
365,2019-07-09,519,13610,2026-05-06,Yes
366,2019-07-09,2341,14874,2024-02-05,NO
367,2019-07-09,1634,36344,2025-08-24,Yes
368,2019-07-09,581,11112,2024-06-03,NO
369,2019-07-09,525,16652,2026-05-04,Yes
370,2019-07-09,528,29359,2024-12-24,NO
371,2019-07-09,2010,45872,2023-02-16,NO
372,2019-07-09,1097,11766,2025-11-10,Yes
373,2019-07-09,1443,23356,2026-05-16,Yes
374,2019-07-09,975,47007,2023-09-25,NO
375,2020-12-10,525,47347,2023-11-28,NO
376,2019-07-09,522,43766,2024-10-04,NO
377,2019-07-09,538,35107,2025-02-03,NO
378,2019-07-09,541,42878,2026-11-13,Yes
379,2019-07-10,538,10390,2025-03-01,NO
380,2019-07-10,70,39517,2024-04-15,NO
381,2022-08-29,1408,6490,2026-05-16,Yes
382,2019-07-10,1776,23176,2023-01-14,NO
383,2019-07-10,1134,24446,2024-02-29,NO
384,2019-07-10,1780,19598,2023-06-24,NO
385,2019-07-10,1780,24512,2024-12-11,NO
386,2019-07-10,1776,17043,2023-01-08,NO
387,2019-07-10,538,6417,2024-08-15,NO
388,2019-07-10,1780,13110,2024-02-19,NO
389,2019-07-10,538,48539,2025-03-17,NO
390,2019-07-10,519,11540,2025-05-25,NO
391,2019-07-10,538,36929,2026-06-04,Yes
392,2019-07-10,1780,45935,2026-02-21,Yes
393,2019-07-10,1348,39849,2026-11-02,Yes
394,2019-07-10,573,14190,2025-09-04,Yes
395,2019-07-10,580,17444,2025-07-29,NO
396,2019-07-10,206,36083,2026-01-29,Yes
397,2019-07-10,2041,9074,2026-07-17,Yes
398,2019-07-10,331,7195,2024-06-09,NO
399,2020-12-10,163,46855,2024-10-29,NO
400,2019-07-10,1095,46591,2026-07-16,Yes
401,2019-07-10,557,36206,2023-10-23,NO
402,2019-07-10,538,12987,2023-06-21,NO
403,2019-07-10,541,42775,2023-02-27,NO
404,2019-07-10,374,49819,2025-02-06,NO
405,2019-07-10,1046,41671,2024-06-08,NO
406,2019-07-10,697,15502,2023-02-06,NO
407,2019-07-10,2526,23632,2026-05-08,Yes
408,2019-07-10,210,45087,2024-01-15,NO
409,2019-07-10,525,6131,2023-03-02,NO
410,2019-07-11,1513,45736,2025-01-07,NO
411,2019-07-11,1776,20286,2024-09-15,NO
412,2019-07-11,1780,45435,2026-08-11,Yes
413,2019-07-11,2329,7607,2024-11-21,NO
414,2019-07-11,150,25269,2023-07-25,NO
415,2019-07-11,1799,11316,2023-08-21,NO
416,2019-07-11,519,24326,2024-02-15,NO
417,2019-07-11,529,7673,2025-09-14,Yes
418,2019-07-11,2528,44046,2023-01-04,NO
419,2019-07-11,519,16115,2025-12-04,Yes
420,2019-07-11,522,28137,2023-04-28,NO
421,2019-07-11,884,6381,2025-09-28,Yes
422,2019-07-11,522,7314,2023-06-06,NO
423,2019-07-12,538,49020,2025-04-13,NO
424,2019-07-12,1778,49120,2026-11-29,Yes
425,2019-07-12,1778,32163,2023-11-10,NO
426,2019-07-12,1777,48680,2025-03-13,NO
427,2019-07-12,2121,8683,2024-03-07,NO
428,2019-07-12,92,47175,2023-09-07,NO
429,2019-07-12,116,34430,2024-11-22,NO
430,2019-07-12,975,23471,2023-11-22,NO
431,2019-07-12,1618,39745,2025-07-27,NO
432,2019-07-12,1408,33278,2024-09-09,NO
433,2019-07-12,1442,37125,2023-09-19,NO
434,2019-07-12,975,45323,2025-09-29,Yes
435,2019-07-12,530,18325,2025-09-22,Yes
436,2019-07-12,522,9219,2023-11-08,NO
437,2019-07-12,1776,18500,2023-11-09,NO
438,2019-07-12,2129,29774,2026-04-18,Yes
439,2021-02-18,102,29587,2023-06-27,NO
440,2019-07-13,539,30387,2024-03-27,NO
441,2019-07-13,538,24113,2023-04-05,NO
442,2020-02-24,166,38546,2026-02-19,Yes
443,2019-07-13,166,23159,2025-03-31,NO
444,2019-07-13,2329,38417,2024-01-12,NO
445,2022-10-31,2690,24818,2024-03-30,NO
446,2019-07-13,529,29531,2023-01-17,NO
447,2019-07-13,525,40758,2023-10-10,NO
448,2019-07-13,793,19745,2025-06-24,NO
449,2019-07-13,2393,45586,2025-06-28,NO
450,2019-07-13,163,26288,2026-03-12,Yes
451,2019-07-13,1452,15705,2023-10-13,NO
452,2019-07-13,875,31556,2023-04-13,NO
453,2019-07-13,163,46298,2023-12-10,NO
454,2019-07-13,197,17515,2024-05-26,NO
455,2019-07-13,166,15073,2026-10-15,Yes
456,2019-07-13,219,12667,2025-10-28,Yes
457,2019-07-13,538,33022,2024-05-04,NO
458,2019-07-13,223,12473,2024-08-24,NO
459,2019-07-13,688,5122,2024-12-25,NO
460,2019-07-13,223,36790,2025-12-15,Yes
461,2019-07-13,2216,42001,2025-02-03,NO
462,2019-07-13,1348,24336,2025-12-26,Yes
463,2019-07-13,875,39409,2023-11-29,NO
464,2019-07-13,2337,7399,2026-07-25,Yes
465,2019-07-13,219,25085,2026-03-10,Yes
466,2019-07-13,166,35110,2023-07-07,NO
467,2019-07-13,1156,37944,2023-06-28,NO
468,2019-07-13,111,36640,2024-07-11,NO
469,2019-07-15,140,36800,2026-01-16,Yes
470,2019-07-15,2528,25984,2025-01-25,NO
471,2019-07-15,2151,18654,2023-09-04,NO
472,2019-07-15,2158,15050,2025-03-23,NO
473,2019-07-15,223,30823,2025-08-13,Yes
474,2019-07-15,2041,24827,2026-11-18,Yes
475,2019-07-15,538,28141,2025-11-30,Yes
476,2022-07-25,2876,39528,2024-03-13,NO
477,2019-07-15,2454,25436,2023-02-17,NO
478,2019-07-15,163,27106,2026-10-29,Yes
479,2019-07-15,219,33212,2024-01-12,NO
480,2019-07-15,2379,17793,2023-11-22,NO
481,2019-07-15,2528,41045,2024-03-12,NO
482,2020-04-02,2811,44657,2024-02-25,NO
483,2019-07-15,219,10616,2023-06-25,NO
484,2019-07-15,2232,48128,2024-01-10,NO
485,2019-07-15,2057,15769,2025-07-18,NO
486,2019-07-15,2186,15451,2024-09-06,NO
487,2019-07-16,1729,37956,2024-01-18,NO
488,2019-07-16,2072,11644,2024-03-28,NO
489,2019-07-16,1308,38206,2025-03-18,NO
490,2019-07-16,2474,25483,2023-02-20,NO
491,2019-07-16,1799,35455,2023-03-17,NO
492,2019-07-16,875,34292,2026-05-22,Yes
493,2019-07-16,172,14836,2024-07-28,NO
494,2019-07-16,1820,46651,2026-07-02,Yes
495,2019-07-16,538,12311,2025-04-22,NO
496,2019-07-16,575,38818,2025-01-28,NO
497,2019-07-16,2299,46741,2023-09-14,NO
498,2019-07-16,1793,13835,2025-06-18,NO
499,2019-07-16,1796,21187,2024-11-09,NO
500,2019-07-16,2072,15166,2023-06-14,NO
501,2019-07-16,166,12638,2026-11-17,Yes
502,2019-07-16,1777,36075,2023-02-04,NO
503,2019-07-16,166,11035,2023-01-07,NO
504,2019-07-16,166,5235,2023-09-30,NO
505,2019-07-16,166,33009,2024-03-01,NO
506,2019-07-16,215,24682,2023-08-01,NO
507,2019-07-16,2538,49447,2023-06-15,NO
508,2019-07-16,219,6071,2025-04-28,NO
509,2019-07-16,51,9694,2025-08-15,Yes
510,2019-07-16,378,16245,2023-04-01,NO
511,2019-07-16,228,27991,2024-02-09,NO
512,2019-07-16,557,43600,2024-02-27,NO
513,2019-07-16,557,5909,2023-09-12,NO
514,2019-07-17,2412,25054,2025-07-22,NO
515,2019-07-17,1408,33361,2025-08-27,Yes
516,2019-07-17,975,26981,2026-05-14,Yes
517,2019-07-17,789,19193,2024-05-05,NO
518,2019-07-17,1813,32527,2023-07-14,NO
519,2019-07-17,190,20416,2023-02-16,NO
520,2019-02-12,2416,7356,2025-03-27,NO
521,2020-08-05,1310,48623,2025-05-25,NO
522,2019-07-17,2420,15693,2024-08-27,NO
523,2019-07-17,374,40972,2024-08-13,NO
524,2019-07-17,196,36171,2026-04-20,Yes
525,2019-07-17,678,21465,2023-06-29,NO
526,2019-07-17,525,11527,2024-10-06,NO
527,2019-07-17,519,5215,2025-06-21,NO
528,2019-07-17,220,36628,2024-03-17,NO
529,2019-12-27,1365,5574,2023-02-28,NO
530,2019-07-17,1700,48292,2025-09-07,Yes
531,2019-07-17,1786,16415,2023-01-19,NO
532,2022-08-03,130,36925,2026-05-11,Yes
533,2019-07-18,2216,43516,2023-03-17,NO
534,2019-07-18,570,8361,2023-08-02,NO
535,2019-07-18,818,13876,2023-07-06,NO
536,2019-07-18,2050,42106,2023-06-05,NO
537,2019-07-18,538,49692,2023-06-07,NO
538,2019-07-18,975,16186,2024-09-28,NO
539,2019-07-18,2158,27606,2024-11-24,NO
540,2019-07-18,538,29258,2024-12-05,NO
541,2019-07-18,191,45429,2025-04-08,NO
542,2019-01-26,2733,30267,2023-10-13,NO
543,2019-07-19,875,34384,2025-04-24,NO
544,2019-07-19,545,35245,2024-08-26,NO
545,2019-07-19,1527,7420,2026-07-27,Yes
546,2022-06-15,2649,17733,2026-12-03,Yes
547,2019-07-19,163,7753,2023-08-15,NO
548,2019-07-19,1780,14018,2025-11-08,Yes
549,2019-06-14,1827,16603,2023-01-20,NO
550,2019-07-19,1795,7391,2026-01-07,Yes
551,2019-04-04,1776,12672,2023-01-29,NO
552,2019-07-19,2329,49666,2026-04-11,Yes
553,2019-07-19,2484,26889,2023-11-03,NO
554,2019-07-19,2351,15402,2025-10-07,Yes
555,2019-07-19,2329,12753,2026-03-26,Yes
556,2019-07-19,1785,28820,2023-02-24,NO
557,2019-07-19,1780,10121,2024-11-08,NO
558,2019-07-19,1776,26199,2025-03-31,NO
559,2019-07-19,1774,5131,2025-04-23,NO
